twitch_id,twitch_username,discord_id,discord_username,ntsc_pb,ntsc_pb_updated_at,pal_pb,pal_pb_updated_at,country_code,country
46642211,asongscout,,,699183,2019-11-18T01:05:29.695247+00:00,,,,
29446784,offwo200,,,603000,2019-10-25T03:19:57.006923+00:00,,,,
408785977,berenyi_kft,,,1255171,2019-10-17T01:57:13.404108+00:00,687000,2019-10-03T22:54:04.032090+00:00,GBR,United Kingdom of Great Britain
35295944,mohammadbadir,,,1135429,,,,,
87298362,the1stnoel,,,375820,2020-01-20T03:23:46.152943+00:00,,,,
73613830,niner80,,,999999,2019-12-16T04:24:15.646870+00:00,,,,
268753206,neotrisss,,,854480,2019-10-03T21:45:43.522699+00:00,,,,
162569203,dmhero,,,724893,,,,,
50351540,kyleprecise,,,624764,2019-10-28T20:00:52.749632+00:00,,,,
187574781,louieskouie,,,999999,,,,,
62831432,megaretroman,,,999999,,,,,
144250361,l0wen,,,213000,,,,,
129663921,divinelyinspiredname,,,710220,2019-10-19T19:57:30.051775+00:00,,,,
131429075,johntriii,,,661200,,,,,
66221286,applebananaking,,,1,,,,,
191935868,poo_diepio,,,930387,2020-01-30T19:42:50.303101+00:00,,,,
83241771,scuttlemesenpai,,,12,,,,,
187723105,sailorsaiko,,,1,,,,,
161378186,tbalaage14,,,1013480,,,,,
85780494,chipsauce,,,508000,,,,,
142871975,convergeai,,,502035,2020-02-01T17:44:52.645437+00:00,,,,
232440079,r00tifant,,,224065,,,,,
96057311,superman_km,,,1,,,,,
28424272,dnalei,,,1,,,,,
231765965,chubblesrl,,,353080,,,,,
66765843,pmya,,,1337441,2020-01-05T18:35:02.288289+00:00,687000,2019-11-23T07:02:38.971868+00:00,GBR,United Kingdom of Great Britain
37127586,f_symbols,,,915840,,,,,
133097389,in10city_,,,559821,2019-11-23T22:06:14.424514+00:00,,,,
39304564,nightcritter,,,1,,,,,
24214456,spiderwaffle,,,575001,2020-01-20T00:14:25.576214+00:00,,,,
111293785,00111101,,,1,,,,,
55007999,steven598,,,834076,,,,,
241663833,tetris_roo,,,953800,,,,,
178581844,raul_1138,,,841175,,,,,
27410052,northing1,,,538000,2020-01-23T11:22:06.177740+00:00,,,NLD,Netherlands
110806938,sundeco,,,1022660,2020-01-19T20:36:17.479889+00:00,,,,
401776719,benblacks,,,621820,,,,,
99010673,earlsilastupper,,,446443,2019-10-12T00:15:41.731564+00:00,1,2019-10-12T00:18:10.290856+00:00,DEU,Germany
262414727,gabrielrezende25,,,520000,,,,,
56664221,darthdreadz,,,804961,,,,,
180427701,amj_productions,,,860421,2020-01-05T00:59:35.679881+00:00,,,,
58602189,unclekev_,,,777776,2019-10-16T01:49:43.873497+00:00,,,,
150817498,ianswertonoone,,,550000,,,,,
162677754,qlf9_plays,,,303400,,,,,
29730512,mobuco,,,420069,,,,,
123257192,itzsharky1,,,1044611,2019-11-13T03:18:27.019556+00:00,,,,
50691428,felixnxt,,,550000,,,,,
134965786,restingzzz,,,843220,2020-01-21T09:15:42.768177+00:00,,,,
90836480,bloonawsome,,,375586,,,,,
405141999,potato_l1cker,,,67450,,,,,
420431463,tetris4fabrice,,,69,,,,,
409339430,bigjoe__,,,599000,,,,,
401033194,goel25,,,589545,,,,,
106869674,chodelerone,,,700000,,,,,
133501435,advenchagamer,,,523822,,,,,
231506831,tetriscrab,,,1201283,,,,,
131454884,classictetris,,,616160,2019-11-02T22:19:08.946202+00:00,616160,2019-10-05T23:05:43.351254+00:00,,
112051612,ryoko82,,,190017,,,,,
85449079,mr_clydethecat,,,570000,,,,,
213719813,burketkenny,,,692132,,,,,
277414456,pj290,,,504200,,,,,
195020552,acorndogulous,,,754160,2019-10-05T23:29:50.415456+00:00,,,,
14908391,beastinshen,,,1036780,2019-10-07T22:41:58.766839+00:00,,,,
96990265,xsuperflarestarx,,,609989,,,,,
186554126,betastrep,,,899060,,,,,
251939581,ugly_dave,,,465480,,,,,
411981432,spacetimematters,,,67000,,,,,
209996849,datboi130,,,999999,,,,,
36125642,benmullen297,,,1089640,,,,,
425815589,xerowolf42,,,490723,,,,,
115410177,artismscrub,,,738340,2019-10-20T22:53:45.166128+00:00,,,,
36876606,leb111,,,111,,,,,
150818509,mecex17,,,1069550,,,,,
58093777,cynis001,,,351420,,,,,
116596736,oeufmeansegg,,,1056679,,,,,
10468875,dobuwitz,,,303480,,,,,
65400898,spoopydoops,,,713113,2019-12-22T22:39:50.864427+00:00,,,,
90658759,evybabee,,,604377,,,,,
186139475,bubblerhapsody,,,1195679,,666779,2019-10-03T22:55:59.023547+00:00,,
36471630,tillbaks,,,637653,2020-01-05T23:26:18.735674+00:00,522560,2020-01-05T23:26:53.316345+00:00,,
90022213,coldfire41,,,693792,,,,,
436047996,obelexobendre,,,495260,2019-09-15T22:19:36.482911+00:00,,,,
85936740,mixunio66,,,422900,2019-10-12T00:16:46.680746+00:00,313980,2019-10-12T00:19:15.962008+00:00,POL,Poland
57412684,scottobozo,,,629960,,,,,
151330806,ggnyikus,,,87000,,,,,
152447022,roy_compera,,,1505,,,,,
143650917,paradoink,,,48869,,,,,
109697993,mr_apple_juice_91,,,64020,,,,,
82908487,somedude1316,,,398280,,,,,
232529203,dippyslays,,,5,,,,,
237635975,1975tylerp,,,999999,,,,,
433998786,danielsong39,,,1,2020-01-13T00:21:53.337867+00:00,,,,
250542461,rainbowwphoenixx,,,489980,,,,,
55264061,h2ohappydude,,,403200,2020-01-25T17:53:47.004540+00:00,,,,
60814716,lazer0monkey,,,579491,,,,,
187386766,heitor2004,,,999403,,,,,
14156048,theguardianpm,,,572140,,,,,
49650994,paf0ne,,,324952,,,,,
113570364,bobski021,,,326787,,,,,
121660803,brianwilliams42,,,574180,2019-12-09T01:03:39.363737+00:00,,,,
189318676,clubsodawithlime,,,789060,,,,,
176936496,lg3rm,,,938420,2020-01-05T00:02:04.889329+00:00,,,,
265553936,skiplogic,,,679691,2020-01-14T00:53:17.732099+00:00,,,,
37072361,kidbillly,,,652000,,,,,
132566545,rensuchan,,,442140,,,,,
161436262,scamper9,,,679160,2020-01-14T00:52:50.251097+00:00,586840,2019-11-17T20:06:02.213052+00:00,,
431037650,ditshadows,,,765000,2019-11-25T01:39:51.796125+00:00,,,,
56339941,wike,,,329326,2019-11-03T18:15:24.244257+00:00,,,,
26131411,fbi_stevo,,,616194,,,,,
271367094,wannabetetrispro,,,580000,,,,,
275028067,zach_blizzard,,,449440,,,,,
